drift,NCM (nearest mean):acc,NCM (nearest mean):footprint,CPM-EMA (NL):acc,CPM-EMA (NL):footprint,kNN (vector-DB):acc,kNN (vector-DB):footprint
0.0,1.0,3072.0,1.0,6144.0,1.0,49152.0
0.1,1.0,3072.0,1.0,6144.0,1.0,49152.0
0.2,1.0,3072.0,1.0,6144.0,1.0,49152.0
0.30000000000000004,1.0,3072.0,1.0,6144.0,1.0,49152.0
0.4,0.5,3072.0,0.5,6144.0,1.0,49152.0
0.5,0.5,3072.0,0.5,6144.0,0.5,49152.0
0.6000000000000001,0.5,3072.0,0.5,6144.0,0.5,49152.0
0.7000000000000001,0.5,3072.0,0.5,6144.0,0.5,49152.0
0.8,0.5,3072.0,0.5,6144.0,1.0,49152.0
0.9,0.5,3072.0,1.0,6144.0,1.0,49152.0
1.0,0.5,3072.0,1.0,6144.0,1.0,49152.0
